carat,depth,table,x,y,z,price,cut,color,clarity
0.44,61.1,56.0,4.95,4.91,3.01,1294.0,Ideal,D,VS1
0.91,62.0,56.0,6.19,6.22,3.85,4337.0,Ideal,H,SI1
0.25,62.2,56.0,4.02,4.03,2.5,633.0,Very Good,F,VVS1
0.9,62.9,61.0,6.1,6.14,3.85,3946.0,Good,I,VVS2
0.61,61.3,55.0,5.48,5.45,3.35,2373.0,Ideal,E,VS2
0.31,62.1,54.2,4.31,4.35,2.69,726.0,Ideal,E,VS1
1.27,61.7,56.0,6.9,7.03,4.3,10805.0,Ideal,G,VVS1
1.27,62.3,56.0,6.93,6.85,4.29,5547.0,Premium,I,SI1
0.4,62.8,59.0,4.67,4.7,2.94,707.0,Very Good,E,SI1
0.71,58.9,62.0,5.85,5.79,3.43,2181.0,Premium,G,SI1
1.09,60.2,59.0,6.71,6.67,4.03,5860.0,Premium,H,VS1
0.59,62.9,60.0,5.34,5.24,3.33,1265.0,Premium,H,SI1
1.04,61.9,57.0,6.46,6.5,4.01,6177.0,Very Good,G,VS2
0.41,62.7,57.0,4.74,4.77,2.98,755.0,Ideal,E,SI1
0.35,61.4,56.0,4.55,4.51,2.78,630.0,Ideal,E,SI2
1.0,63.0,58.0,6.29,6.38,3.99,7676.0,Very Good,E,VS1
0.42,62.6,58.0,4.76,4.8,2.99,626.0,Premium,I,SI1
1.0,63.5,59.0,6.35,6.32,4.02,4295.0,Very Good,D,SI2
0.7,61.9,57.0,5.65,5.69,3.51,1974.0,Ideal,J,VS2
0.91,61.4,60.0,6.21,6.23,3.82,3682.0,Premium,F,SI2
1.22,62.7,59.0,6.82,6.81,4.27,6184.0,Premium,H,VS2
0.5,60.9,57.0,5.18,5.14,3.14,1654.0,Ideal,D,SI1
0.41,64.7,56.0,4.68,4.72,3.04,833.0,Fair,G,VVS2
1.15,62.6,58.0,6.71,6.65,4.18,5851.0,Premium,G,SI1
0.3,61.7,59.0,4.3,4.26,2.64,608.0,Premium,I,VS1
1.1,60.3,62.0,6.72,6.67,4.04,6951.0,Very Good,G,VS1
0.35,62.1,53.0,4.53,4.55,2.82,540.0,Ideal,J,VVS1
0.32,61.6,55.0,4.42,4.41,2.72,936.0,Ideal,G,VVS2
0.7,62.5,60.0,5.62,5.67,3.53,3471.0,Premium,D,VS1
0.52,62.2,57.0,5.13,5.16,3.2,1600.0,Ideal,D,SI1
1.2,62.6,54.3,6.76,6.8,4.25,8687.0,Ideal,G,VS1
0.33,61.7,55.0,4.47,4.48,2.76,739.0,Ideal,D,VS1
0.34,61.2,57.0,4.53,4.56,2.78,507.0,Ideal,G,SI1
1.14,61.9,58.0,6.72,6.68,4.15,6256.0,Premium,G,VS2
1.73,60.7,58.0,7.73,7.78,4.71,9105.0,Premium,J,SI1
0.33,61.5,56.0,4.46,4.48,2.75,992.0,Ideal,G,IF
0.56,61.6,56.0,5.29,5.32,3.27,1976.0,Ideal,G,VVS2
0.51,61.9,54.0,5.13,5.15,3.18,983.0,Ideal,H,SI2
0.34,61.8,57.0,4.46,4.44,2.75,995.0,Ideal,H,VVS1
0.41,61.1,55.0,4.8,4.83,2.94,1007.0,Ideal,G,VVS2
0.81,61.9,58.0,5.99,5.96,3.7,3004.0,Premium,F,SI1
0.33,61.9,57.0,4.4,4.42,2.73,666.0,Ideal,F,VS2
0.38,62.8,57.0,4.58,4.59,2.88,566.0,Ideal,G,SI2
1.01,61.6,57.0,6.42,6.46,3.97,4916.0,Ideal,D,SI2
0.38,60.4,58.0,4.72,4.68,2.84,898.0,Premium,F,SI1
0.36,61.5,55.0,4.59,4.62,2.83,651.0,Ideal,H,VS1
0.32,61.2,59.0,4.44,4.39,2.7,936.0,Premium,G,VVS2
0.43,61.8,57.0,4.79,4.85,2.98,1308.0,Ideal,E,VVS2
0.56,61.6,59.0,5.27,5.32,3.26,1755.0,Ideal,G,SI1
1.01,62.6,59.0,6.38,6.46,4.02,6499.0,Premium,G,VS1
1.08,63.2,59.0,6.4,6.57,4.1,3742.0,Good,J,SI2
0.86,61.8,55.0,6.12,6.14,3.79,2892.0,Ideal,H,SI2
0.74,61.6,59.0,5.82,5.77,3.57,1931.0,Premium,J,SI1
1.1,59.5,57.0,6.81,6.74,4.03,4004.0,Premium,H,SI2
1.57,62.0,58.0,7.47,7.41,4.61,11523.0,Premium,F,SI1
0.37,62.2,56.0,4.6,4.63,2.87,844.0,Ideal,E,VVS2
0.7,61.5,56.0,5.71,5.73,3.52,2298.0,Very Good,E,SI2
1.01,62.3,55.0,6.35,6.29,3.94,3674.0,Premium,E,SI2
0.76,63.0,55.0,5.83,5.74,3.65,1629.0,Premium,G,I1
1.09,61.2,56.0,6.62,6.64,4.06,7357.0,Ideal,G,VS2
1.03,61.7,58.0,6.47,6.5,4.0,4679.0,Premium,D,SI2
0.65,59.6,58.0,5.65,5.62,3.36,1970.0,Premium,F,VS2
0.41,61.4,56.0,4.77,4.81,2.94,1439.0,Ideal,F,IF
0.39,60.6,57.0,4.75,4.79,2.89,677.0,Ideal,E,SI1
0.82,61.2,58.0,5.99,6.04,3.68,2168.0,Premium,J,SI1
1.5,59.7,61.0,7.39,7.44,4.43,8181.0,Good,F,SI2
0.41,59.8,57.0,4.86,4.81,2.89,961.0,Ideal,G,VS1
1.09,60.2,60.0,6.66,6.7,4.02,5305.0,Very Good,G,SI1
0.4,61.8,56.0,4.74,4.77,2.94,1053.0,Very Good,E,VS1
1.05,61.6,59.0,6.51,6.54,4.02,6981.0,Ideal,G,VS2
0.33,61.8,55.0,4.46,4.49,2.77,873.0,Ideal,E,VS2
1.44,61.92,56.0,7.15,7.12,4.5,10967.0,Very Good,D,VS2
0.43,62.3,58.0,4.85,4.81,3.01,1113.0,Premium,G,VS2
0.3,59.3,59.0,4.38,4.42,2.61,491.0,Very Good,G,VS2
1.52,62.9,59.0,7.31,7.26,4.58,9576.0,Premium,E,SI2
0.31,62.1,58.0,4.36,4.31,2.69,695.0,Premium,G,VS1
1.61,60.2,58.0,7.61,7.65,4.59,10477.0,Premium,F,SI1
1.3,60.9,57.0,7.04,7.11,4.31,11853.0,Ideal,G,VVS2
1.02,61.4,57.0,6.45,6.49,3.98,7055.0,Ideal,G,VS1
0.38,61.5,55.0,4.69,4.72,2.89,603.0,Ideal,E,SI2
0.58,62.2,58.0,5.35,5.3,3.31,2297.0,Premium,E,VS1
0.51,62.8,56.0,5.07,5.09,3.19,1569.0,Very Good,D,SI1
0.44,62.8,58.0,4.79,4.86,3.03,850.0,Very Good,D,VS2
1.05,62.2,56.0,6.49,6.53,4.05,8645.0,Ideal,G,VVS2
1.09,62.7,58.0,6.51,6.56,4.1,5287.0,Premium,F,SI1
0.34,62.6,58.0,4.45,4.47,2.79,626.0,Premium,I,VVS1
0.51,61.4,59.0,5.13,5.13,3.16,1421.0,Premium,F,SI1
0.72,62.1,57.0,5.72,5.75,3.56,2241.0,Ideal,F,SI2
0.83,61.1,60.0,6.07,6.1,3.72,2788.0,Very Good,I,VS1
0.32,62.4,57.0,4.34,4.38,2.72,645.0,Ideal,F,VS2
0.3,62.3,56.0,4.27,4.3,2.67,603.0,Ideal,E,VS2
1.53,61.5,56.0,7.39,7.44,4.55,11434.0,Ideal,I,VS2
0.9,63.1,57.0,6.12,6.09,3.85,3473.0,Very Good,I,VS2
0.4,59.6,58.0,4.8,4.83,2.87,851.0,Very Good,D,VS2
0.4,60.8,59.0,4.77,4.73,2.89,1056.0,Premium,E,VVS2
1.2,63.5,58.0,6.69,6.73,4.26,5443.0,Very Good,H,SI1
0.34,62.6,58.0,4.49,4.46,2.8,880.0,Premium,F,VS2
0.38,60.2,58.0,4.66,4.71,2.82,1000.0,Premium,E,VS1
0.71,63.6,56.0,5.65,5.67,3.6,2428.0,Good,G,SI1
1.08,62.2,57.0,6.5,6.55,4.06,5155.0,Very Good,H,VS2
0.39,62.5,55.0,4.68,4.7,2.93,694.0,Very Good,G,SI1
1.1,59.56,62.0,6.75,6.7,3.99,3271.0,Premium,I,SI2
0.9,60.6,60.0,6.22,6.15,3.75,3407.0,Premium,G,SI1
1.11,62.5,56.0,6.65,6.63,4.15,5395.0,Ideal,H,SI1
0.7,64.2,58.0,5.61,5.58,3.59,2351.0,Good,H,VS2
1.24,63.3,60.0,6.83,6.75,4.29,3908.0,Very Good,J,SI2
0.54,62.4,56.0,5.23,5.19,3.25,1765.0,Ideal,E,VS2
0.41,61.6,60.0,4.75,4.77,2.93,1249.0,Very Good,E,VVS2
0.79,62.3,54.0,5.97,5.91,3.7,2862.0,Premium,F,SI1
0.3,62.2,58.0,4.25,4.27,2.65,742.0,Very Good,D,VS1
1.03,62.3,59.0,6.44,6.46,4.02,4928.0,Ideal,G,SI2
0.4,61.3,55.0,4.78,4.75,2.92,1323.0,Ideal,F,VVS1
1.01,63.4,60.0,6.31,6.37,4.02,6666.0,Good,E,VS2
0.3,61.4,59.0,4.31,4.36,2.66,737.0,Premium,F,VVS2
0.37,61.0,60.0,4.64,4.61,2.82,1145.0,Premium,D,VVS2
0.31,61.5,56.0,4.34,4.37,2.68,680.0,Ideal,E,VS2
0.51,60.0,57.0,5.15,5.19,3.1,1549.0,Very Good,E,VS2
0.72,62.9,57.0,5.68,5.73,3.59,2990.0,Very Good,E,VS2
1.21,62.8,59.0,6.84,6.76,4.27,8402.0,Premium,G,VS2
0.32,62.3,57.0,4.42,4.37,2.74,648.0,Ideal,I,VS1
1.01,62.0,59.0,6.44,6.46,4.0,6666.0,Premium,E,VS2
1.0,59.4,60.0,6.55,6.49,3.87,3360.0,Premium,H,SI2
0.7,60.8,57.0,5.73,5.71,3.48,2596.0,Ideal,F,SI1
0.7,62.4,61.0,5.75,5.6,3.54,2415.0,Premium,I,VVS2
0.9,62.2,60.0,6.14,6.07,3.8,3984.0,Premium,G,SI1
0.72,62.8,59.0,5.69,5.74,3.59,2265.0,Very Good,G,SI1
1.01,62.1,63.0,6.38,6.31,3.94,6371.0,Very Good,G,VVS2
0.4,61.7,57.0,4.71,4.74,2.91,1097.0,Ideal,G,VVS1
0.3,62.3,55.0,4.28,4.29,2.67,552.0,Ideal,I,VVS1
1.02,63.3,58.0,6.42,6.38,4.05,6861.0,Very Good,G,VS1
1.07,62.1,57.0,6.5,6.55,4.05,5220.0,Ideal,H,SI1
1.01,62.3,61.0,6.39,6.32,3.96,4513.0,Premium,H,SI1
0.71,62.7,58.0,5.74,5.68,3.58,2381.0,Premium,F,SI1
0.3,61.3,57.0,4.3,4.34,2.65,621.0,Ideal,E,VS2
0.47,61.3,56.0,5.03,5.05,3.09,1441.0,Ideal,G,VVS1
1.01,61.1,58.0,6.45,6.51,3.96,7037.0,Very Good,F,VS2
0.42,61.6,58.0,4.76,4.79,2.94,1400.0,Premium,G,IF
0.59,61.5,55.0,5.4,5.43,3.33,2256.0,Very Good,G,VVS1
0.3,61.9,58.0,4.3,4.32,2.67,545.0,Ideal,H,VS1
0.33,61.8,54.0,4.47,4.5,2.77,761.0,Ideal,F,VVS2
1.0,61.4,63.0,6.35,6.41,3.92,6040.0,Very Good,D,SI1
0.9,62.3,59.0,6.1,6.17,3.82,4328.0,Very Good,H,VS2
0.39,61.6,56.0,4.69,4.73,2.9,1201.0,Ideal,G,IF
0.62,61.9,57.0,5.47,5.55,3.41,2508.0,Ideal,D,VS1
0.3,61.2,55.0,4.35,4.31,2.65,844.0,Ideal,E,VS2
0.33,62.1,56.0,4.44,4.41,2.75,1052.0,Ideal,G,IF
1.7,62.9,57.0,7.57,7.5,4.74,9901.0,Ideal,I,SI1
0.5,60.5,57.0,5.15,5.19,3.13,1449.0,Ideal,H,VS1
0.78,60.8,60.0,5.97,5.94,3.62,2826.0,Premium,F,SI1
0.51,61.6,56.0,5.18,5.15,3.18,1662.0,Ideal,G,VS1
0.56,61.7,56.0,5.33,5.3,3.28,2016.0,Ideal,F,VS1
0.71,61.3,58.0,5.75,5.73,3.52,2822.0,Premium,D,SI1
0.31,60.5,60.0,4.34,4.39,2.64,544.0,Premium,E,VS2
1.03,62.2,56.0,6.48,6.45,4.02,6299.0,Ideal,D,SI1
1.0,61.9,56.0,6.37,6.45,3.97,4997.0,Ideal,G,SI1
0.38,60.3,57.0,4.77,4.71,2.86,1060.0,Ideal,D,VVS2
0.32,63.7,55.0,4.38,4.35,2.78,756.0,Good,D,SI1
0.9,62.1,57.0,6.16,6.18,3.83,3418.0,Ideal,J,VS1
0.71,61.1,58.0,5.7,5.75,3.5,2226.0,Very Good,J,VVS2
0.33,59.5,59.0,4.53,4.48,2.68,743.0,Premium,H,VS1
1.0,62.8,63.0,6.28,6.33,3.96,5720.0,Very Good,E,VS2
0.3,62.0,58.0,4.24,4.28,2.64,526.0,Very Good,H,VS1
0.3,61.0,58.0,4.31,4.28,2.62,675.0,Premium,H,VS1
0.32,61.0,58.0,4.44,4.41,2.7,828.0,Premium,H,VVS2
1.02,64.1,58.0,6.25,6.32,4.03,4459.0,Good,D,SI2
1.3,60.4,59.0,7.12,7.06,4.28,10090.0,Premium,F,VS2
0.5,61.2,55.0,5.12,5.07,3.12,1808.0,Ideal,D,VS2
1.3,61.0,59.0,7.05,7.08,4.31,10930.0,Premium,F,VS1
0.25,63.6,57.0,4.01,4.04,2.56,435.0,Good,F,VS1
0.73,60.6,59.0,5.81,5.77,3.51,2190.0,Premium,F,SI1
0.76,60.9,55.0,5.92,5.94,3.61,2838.0,Very Good,H,SI1
0.25,61.7,57.0,4.08,4.12,2.53,548.0,Very Good,E,VVS2
0.34,62.4,55.0,4.49,4.45,2.79,1211.0,Ideal,D,VVS1
1.02,61.9,53.0,6.5,6.48,4.02,6169.0,Ideal,G,VS2
0.31,62.3,60.0,4.31,4.36,2.7,625.0,Premium,H,VVS2
0.31,61.2,57.0,4.35,4.38,2.67,1168.0,Ideal,F,IF
0.96,61.7,57.0,6.35,6.3,3.9,3858.0,Ideal,G,SI2
0.31,62.9,58.0,4.35,4.3,2.72,802.0,Premium,G,VS1
0.41,61.7,56.0,4.78,4.81,2.96,1115.0,Ideal,F,VVS2
1.27,62.4,56.0,6.95,6.9,4.32,5690.0,Ideal,I,SI1
0.33,61.7,57.0,4.47,4.44,2.75,1021.0,Ideal,F,VVS1
1.2,61.5,61.0,6.84,6.78,4.19,5947.0,Premium,G,SI1
1.25,62.6,58.0,6.87,6.8,4.28,8820.0,Premium,G,VS2
1.2,62.4,57.0,6.8,6.78,4.24,8701.0,Ideal,G,VS1
1.08,59.4,59.0,6.68,6.75,3.99,6415.0,Premium,G,VS2
0.32,61.6,59.0,4.37,4.39,2.7,524.0,Premium,H,VS1
0.5,63.5,58.0,5.03,4.98,3.18,1838.0,Very Good,H,VVS1
0.41,62.1,60.0,4.72,4.78,2.95,899.0,Premium,G,VS1
0.71,61.67999999999999,59.0,5.75,5.71,3.58,2202.0,Premium,I,VS1
0.58,62.0,56.0,5.34,5.38,3.32,1369.0,Ideal,I,VVS2
0.73,58.3,58.0,5.95,5.91,3.46,2393.0,Premium,F,SI2
1.01,60.7,58.0,6.52,6.49,3.95,7862.0,Premium,G,VVS2
0.34,63.7,55.0,4.43,4.46,2.83,477.0,Good,E,SI2
0.5,62.9,55.0,5.05,5.09,3.19,1904.0,Very Good,G,VVS2
0.54,61.3,56.0,5.22,5.25,3.21,1422.0,Ideal,E,SI1
0.43,61.0,58.0,4.92,4.89,2.99,1008.0,Premium,G,VS1
0.5,61.3,60.0,5.11,5.07,3.12,1746.0,Premium,E,VS2
1.59,60.5,63.0,7.52,7.45,4.53,10106.0,Very Good,I,VS2
1.22,61.14,55.0,6.83,6.87,4.25,7783.0,Ideal,G,VS2
1.05,61.7,57.0,6.56,6.53,4.04,7028.0,Ideal,G,VS2
0.7,62.1,54.0,5.69,5.72,3.54,2839.0,Ideal,E,VS2
0.26,62.3,59.0,4.1,4.06,2.54,491.0,Premium,H,VS1
0.24,62.5,56.0,4.01,3.99,2.5,486.0,Ideal,E,SI1
0.51,60.5,56.0,5.23,5.25,3.17,1105.0,Very Good,I,SI2
0.34,61.3,60.0,4.47,4.53,2.76,537.0,Premium,H,VS2
0.7,62.9,59.0,5.62,5.67,3.55,2401.0,Very Good,F,SI1
1.22,62.3,55.0,6.8,6.84,4.25,7418.0,Ideal,H,VS1
1.02,60.9,56.0,6.47,6.51,3.95,6432.0,Very Good,G,VS2
0.35,61.0,57.0,4.54,4.57,2.78,633.0,Ideal,G,VS2
1.0,57.4,62.0,6.56,6.53,3.76,6272.0,Good,E,VS2
0.3,63.2,57.0,4.28,4.23,2.69,878.0,Very Good,G,VVS2
1.25,61.5,55.0,6.92,6.94,4.26,10636.0,Ideal,G,VVS2
1.04,61.1,56.0,6.6,6.66,4.05,4290.0,Ideal,H,SI2
1.05,61.8,57.0,6.51,6.54,4.03,4729.0,Ideal,F,SI1
0.7,58.4,59.0,5.83,5.91,3.43,2904.0,Very Good,E,VS1
0.3,62.3,57.0,4.27,4.3,2.67,665.0,Ideal,H,VVS1
0.54,59.4,57.0,5.35,5.29,3.16,1786.0,Premium,F,VS2
1.01,59.4,59.0,6.52,6.54,3.88,8348.0,Very Good,E,VS1
0.4,62.1,57.0,4.74,4.69,2.93,1125.0,Ideal,H,VVS2
1.39,60.8,57.0,7.24,7.21,4.39,11726.0,Ideal,E,VS2
0.3,61.2,62.0,4.31,4.28,2.63,540.0,Premium,H,SI1
0.5,61.8,57.0,5.09,5.11,3.15,1322.0,Ideal,I,VVS2
0.9,61.6,59.0,6.18,6.26,3.83,3924.0,Very Good,E,SI2
0.35,61.5,59.0,4.53,4.55,2.79,706.0,Premium,F,VS2
0.4,62.5,58.0,4.69,4.72,2.94,1053.0,Premium,E,VS1
0.3,60.2,56.0,4.37,4.4,2.64,447.0,Ideal,D,SI2
1.17,61.879999999999995,55.0,6.74,6.77,4.21,4883.0,Ideal,J,SI1
1.11,61.5,59.0,6.56,6.61,4.05,4029.0,Very Good,H,SI2
0.32,61.4,57.0,4.41,4.42,2.71,589.0,Ideal,D,SI1
1.21,60.4,56.0,6.96,6.91,4.19,9878.0,Very Good,G,VVS2
1.04,59.4,60.0,6.58,6.56,3.9,7632.0,Premium,F,VS1
0.33,61.0,58.0,4.44,4.48,2.72,752.0,Premium,G,VVS2
0.4,61.9,59.0,4.67,4.7,2.9,772.0,Very Good,G,VS2
0.74,61.7,57.0,5.79,5.84,3.59,4157.0,Ideal,F,VVS2
0.34,60.8,57.0,4.53,4.49,2.74,1033.0,Ideal,E,VS1
0.43,61.8,55.0,4.88,4.9,3.02,1218.0,Ideal,I,VS1
1.12,62.2,55.0,6.68,6.64,4.14,4955.0,Ideal,G,SI2
1.7,63.6,59.0,7.53,7.48,4.77,8134.0,Good,J,VS2
0.44,61.1,57.0,4.91,4.95,3.01,957.0,Ideal,I,VVS2
2.06,64.3,58.0,8.03,7.99,5.15,6091.0,Good,H,I1
1.06,61.4,56.5,6.55,6.58,4.03,4465.0,Very Good,I,SI2
0.24,63.0,59.0,3.93,3.97,2.49,419.0,Very Good,F,VS1
0.79,62.0,56.0,5.92,5.96,3.68,3675.0,Ideal,H,VVS1
0.3,63.1,60.0,4.24,4.28,2.69,605.0,Good,H,VVS2
1.0,62.4,62.0,6.33,6.37,3.96,6177.0,Good,G,VS1
0.57,60.4,57.0,5.35,5.38,3.24,1651.0,Very Good,D,VS2
0.3,62.2,60.0,4.24,4.25,2.64,526.0,Very Good,G,VS2
0.52,61.5,55.0,5.17,5.21,3.19,2092.0,Ideal,F,VVS2
0.35,61.5,57.0,4.56,4.52,2.79,906.0,Ideal,F,VS2
1.62,64.2,62.0,7.41,7.33,4.73,6223.0,Good,J,SI2
0.34,62.7,59.0,4.42,4.45,2.78,626.0,Premium,D,SI1
1.52,62.1,59.0,7.3,7.35,4.55,9465.0,Ideal,I,VS2
0.7,61.2,55.0,5.75,5.77,3.53,2249.0,Ideal,I,VS2
0.31,60.7,56.0,4.4,4.37,2.66,878.0,Ideal,F,VVS1
0.3,61.6,57.0,4.33,4.3,2.66,675.0,Ideal,H,VS1
1.01,62.2,61.0,6.34,6.4,3.96,8957.0,Ideal,G,IF
0.9,62.6,56.0,6.16,6.23,3.88,4801.0,Ideal,F,VS2
0.54,59.2,58.0,5.32,5.35,3.16,1754.0,Premium,E,VS2
0.5,62.52,57.0,5.1,5.13,3.14,1107.0,Ideal,G,SI2
1.67,62.3,59.0,7.59,7.63,4.74,7911.0,Very Good,J,SI1
0.52,61.1,56.0,5.19,5.22,3.18,1100.0,Ideal,G,SI2
0.31,61.9,55.0,4.38,4.41,2.72,1046.0,Ideal,E,IF
1.61,61.2,55.0,7.62,7.57,4.65,11294.0,Ideal,G,SI1
1.3,64.0,58.0,6.91,6.84,4.4,5242.0,Good,J,SI1
0.61,62.1,54.2,5.43,5.45,3.38,2907.0,Ideal,E,VVS2
0.42,61.8,56.0,4.81,4.84,2.98,847.0,Ideal,G,VS2
0.9,64.5,61.0,6.05,6.01,3.89,3689.0,Fair,D,SI1
0.3,61.8,59.0,4.28,4.33,2.66,789.0,Premium,G,VVS1
1.21,62.3,59.0,6.82,6.77,4.23,4686.0,Premium,I,SI2
1.73,61.2,60.0,7.65,7.67,4.69,10761.0,Very Good,I,SI1
0.52,61.7,55.0,5.21,5.17,3.2,1790.0,Ideal,H,VS1
0.3,61.4,57.0,4.29,4.31,2.64,665.0,Ideal,G,VVS2
1.0,62.7,58.0,6.38,6.41,4.01,6319.0,Very Good,F,VS2
1.52,58.4,59.0,7.55,7.52,4.4,11853.0,Premium,H,VS1
0.31,61.8,56.0,4.36,4.32,2.68,942.0,Ideal,D,VS2
1.14,61.1,57.0,6.7,6.76,4.11,10313.0,Ideal,G,IF
1.4,61.8,54.0,7.21,7.16,4.44,8419.0,Premium,D,SI2
0.34,62.1,55.0,4.46,4.49,2.78,596.0,Ideal,G,VS2
0.59,61.1,57.0,5.43,5.4,3.31,1789.0,Premium,G,VS2
1.0,59.8,60.0,6.46,6.49,3.87,7281.0,Very Good,D,VS2
0.71,61.5,58.0,5.75,5.77,3.54,3582.0,Ideal,D,VS1
1.01,63.9,61.0,6.31,6.28,4.02,5147.0,Good,D,SI1
0.32,62.5,56.0,4.37,4.4,2.74,645.0,Ideal,F,VS2
0.4,62.7,58.5,4.7,4.74,2.96,793.0,Premium,H,VS1
0.24,62.4,58.0,3.98,4.0,2.49,419.0,Very Good,F,VS2
1.31,63.0,58.0,6.97,6.93,4.38,5612.0,Premium,I,SI2
0.52,62.7,56.0,5.08,5.13,3.2,1323.0,Very Good,D,SI1
0.82,61.2,61.0,5.98,5.95,3.65,3211.0,Premium,E,SI1
1.1,60.1,58.0,6.76,6.69,4.04,10577.0,Premium,E,VVS2
0.7,63.1,56.0,5.66,5.63,3.56,2273.0,Very Good,E,SI2
0.3,62.1,56.0,4.3,4.33,2.68,552.0,Ideal,I,VVS1
0.32,61.6,55.0,4.41,4.45,2.73,1107.0,Ideal,D,VVS2
0.32,61.9,59.0,4.35,4.38,2.7,561.0,Premium,I,VVS2
1.01,61.6,63.0,6.42,6.47,3.97,4816.0,Good,F,SI1
0.73,61.9,55.0,5.76,5.8,3.58,3089.0,Ideal,G,SI1
1.01,58.8,57.0,6.57,6.63,3.88,3853.0,Good,J,SI1
0.51,62.2,56.0,5.12,5.08,3.17,2203.0,Ideal,F,VVS2
0.3,62.2,58.0,4.28,4.31,2.67,552.0,Very Good,D,SI1
1.0,60.0,55.0,6.41,6.52,3.88,5385.0,Very Good,G,VS2
0.3,61.2,55.0,4.35,4.38,2.67,545.0,Ideal,G,VS2
0.9,63.1,61.0,6.18,6.14,3.89,4092.0,Very Good,E,SI1
0.34,61.8,54.4,4.49,4.52,2.79,531.0,Ideal,G,SI1
0.38,62.7,58.0,4.61,4.57,2.88,641.0,Premium,I,SI2
1.01,62.9,58.0,6.29,6.31,3.96,7455.0,Very Good,F,VS1
0.23,62.9,58.0,3.94,3.95,2.48,478.0,Very Good,E,VVS1
0.71,63.1,58.0,5.65,5.7,3.58,2588.0,Very Good,F,VS2
0.5,63.7,56.0,5.05,5.09,3.23,1436.0,Good,D,SI1
1.22,61.7,59.0,6.84,6.8,4.21,4735.0,Premium,I,SI2
1.5,60.0,57.0,7.45,7.36,4.44,7503.0,Ideal,J,VS2
0.77,61.4,56.0,5.86,5.9,3.61,2635.0,Ideal,I,VS1
1.0,62.6,60.0,6.35,6.4,3.99,6518.0,Very Good,E,VS2
1.51,62.8,59.0,7.23,7.26,4.55,6773.0,Very Good,J,SI2
1.09,60.9,59.0,6.64,6.59,4.03,5384.0,Premium,F,SI1
0.41,63.1,57.0,4.73,4.68,2.97,920.0,Very Good,D,SI1
1.32,61.5,59.0,7.04,7.01,4.32,6505.0,Premium,H,VS2
0.52,61.7,57.0,5.16,5.18,3.19,1665.0,Ideal,G,VS1
1.51,60.9,57.0,7.39,7.43,4.51,11068.0,Very Good,H,VS2
1.01,61.9,59.0,6.38,6.45,3.97,10476.0,Very Good,F,IF
1.62,62.2,58.0,7.5,7.46,4.65,11455.0,Premium,H,SI1
