carat,depth,table,x,y,z,price,cut,color,clarity
0.4,60.8,62.0,4.72,4.76,2.88,687.0,Very Good,E,SI1
0.24,61.5,56.0,4.02,4.05,2.48,523.0,Ideal,I,VVS2
0.41,61.0,61.0,4.74,4.77,2.9,725.0,Very Good,E,SI1
0.5,60.8,60.0,5.16,5.14,3.13,1629.0,Premium,G,VS1
1.73,60.9,59.0,7.71,7.68,4.69,11554.0,Very Good,I,SI1
1.01,65.1,57.0,6.27,6.32,4.1,4468.0,Good,D,SI2
0.52,62.5,59.0,5.06,5.12,3.18,978.0,Very Good,I,SI1
0.53,62.2,55.0,5.17,5.22,3.23,1812.0,Ideal,F,VS1
1.0,61.2,58.0,6.4,6.44,3.93,5197.0,Premium,F,SI1
0.7,58.3,58.0,5.9,5.86,3.43,2459.0,Premium,G,VS1
1.76,56.9,66.0,8.09,7.94,4.56,9314.0,Fair,J,VS1
1.05,62.3,56.0,6.54,6.47,4.05,4939.0,Premium,E,SI2
0.61,59.6,61.0,5.58,5.5,3.3,2075.0,Premium,F,VS2
1.01,63.1,55.0,6.31,6.33,3.99,4064.0,Good,G,SI1
0.41,61.6,55.0,4.79,4.82,2.96,1196.0,Ideal,F,VVS1
0.31,61.2,56.0,4.35,4.37,2.67,804.0,Ideal,D,VVS2
1.52,60.7,60.0,7.55,7.32,4.5,6544.0,Premium,H,SI2
0.7,60.6,57.0,5.73,5.79,3.5,3384.0,Ideal,G,VS1
1.2,59.9,57.0,6.91,6.87,4.13,6487.0,Ideal,H,VS2
0.63,61.1,58.0,5.49,5.54,3.37,3181.0,Ideal,E,VVS1
0.51,61.0,55.0,5.18,5.21,3.17,1698.0,Very Good,H,SI1
0.54,61.3,56.0,5.27,5.23,3.22,1960.0,Premium,E,VS1
0.42,61.2,54.0,4.82,4.86,2.96,921.0,Ideal,G,VS1
0.59,62.42,57.0,5.33,5.38,3.33,1442.0,Ideal,I,VS1
1.2,62.3,55.0,6.83,6.79,4.24,8486.0,Ideal,F,VS2
0.92,61.7,59.0,6.18,6.27,3.84,4011.0,Premium,E,SI2
0.31,61.2,56.0,4.38,4.34,2.67,1046.0,Ideal,G,VVS1
0.42,62.7,54.0,4.8,4.83,3.02,921.0,Ideal,G,VS1
1.22,60.5,60.0,6.93,6.89,4.18,4974.0,Premium,E,SI2
0.32,62.1,55.0,4.41,4.38,2.73,828.0,Ideal,G,VS1
0.53,62.3,54.0,5.18,5.22,3.24,1449.0,Ideal,H,VS1
0.84,63.6,57.0,5.98,5.93,3.79,3316.0,Good,G,VS1
1.07,60.8,56.0,6.61,6.57,4.01,3775.0,Ideal,J,SI1
0.24,62.0,56.0,3.97,4.01,2.47,559.0,Ideal,G,VVS1
0.5,62.4,56.0,5.1,5.06,3.17,1332.0,Ideal,D,SI2
0.77,60.4,58.0,5.96,5.99,3.61,2089.0,Premium,I,SI1
0.9,61.3,60.0,6.18,6.22,3.8,3468.0,Very Good,F,SI2
1.03,65.2,56.0,6.42,6.35,4.16,3530.0,Fair,I,SI2
1.12,62.1,54.8,6.64,6.66,4.13,8701.0,Ideal,G,VVS2
1.0,63.2,55.0,6.34,6.29,3.99,7532.0,Very Good,E,VS1
0.5,61.0,56.0,5.15,5.17,3.15,1923.0,Ideal,H,IF
0.31,60.1,59.0,4.41,4.38,2.64,537.0,Premium,I,SI1
1.72,59.8,59.0,7.77,7.74,4.64,10749.0,Premium,H,SI2
1.24,61.9,54.0,6.89,6.92,4.27,8584.0,Ideal,G,VS1
0.7,62.4,54.0,5.66,5.71,3.55,3585.0,Ideal,E,VVS2
0.35,61.7,55.0,4.54,4.57,2.81,849.0,Ideal,G,VVS1
0.3,59.2,59.0,4.37,4.41,2.6,658.0,Premium,E,VS2
0.3,61.8,55.0,4.33,4.35,2.68,694.0,Ideal,F,VVS2
0.27,60.2,58.0,4.19,4.22,2.53,470.0,Very Good,E,VS1
0.36,62.0,54.2,4.55,4.58,2.83,863.0,Ideal,E,VS1
1.29,63.6,57.0,6.88,6.92,4.39,5771.0,Very Good,I,SI1
0.6,60.0,58.0,5.5,5.56,3.32,2270.0,Very Good,E,VS1
0.56,61.2,56.0,5.29,5.33,3.25,1580.0,Ideal,G,VS2
1.09,62.1,56.0,6.66,6.59,4.12,4670.0,Ideal,G,SI2
0.73,60.8,60.0,5.87,5.78,3.54,2409.0,Premium,E,SI2
1.0,59.8,59.0,6.47,6.51,3.88,7584.0,Very Good,G,VVS2
0.7,63.2,59.0,5.66,5.61,3.56,1792.0,Very Good,F,SI2
0.42,62.5,57.0,4.8,4.77,2.99,945.0,Ideal,I,VVS1
0.4,61.4,59.0,4.71,4.74,2.9,1106.0,Ideal,E,VVS2
1.0,62.8,58.0,6.38,6.36,4.0,4816.0,Premium,H,SI1
0.42,61.1,60.0,4.83,4.79,2.94,1040.0,Premium,D,SI1
0.27,62.2,56.0,4.15,4.12,2.57,799.0,Ideal,D,VVS1
0.59,60.2,57.0,5.47,5.42,3.28,1572.0,Ideal,D,SI2
0.56,60.6,57.0,5.36,5.33,3.24,1698.0,Ideal,G,VS2
0.62,61.9,54.0,5.48,5.5,3.4,1271.0,Ideal,I,SI1
0.9,62.9,62.0,6.06,6.02,3.8,3850.0,Premium,G,VS2
0.71,59.2,58.0,5.86,5.9,3.48,1932.0,Very Good,J,SI1
0.54,60.6,56.0,5.26,5.27,3.19,1985.0,Ideal,G,VVS2
0.72,62.2,58.0,5.75,5.7,3.56,2804.0,Very Good,F,VS1
0.3,62.2,57.0,4.3,4.32,2.68,886.0,Ideal,F,IF
0.31,61.8,56.0,4.31,4.36,2.68,707.0,Ideal,G,VVS2
0.41,62.4,60.0,4.77,4.71,2.96,876.0,Premium,D,SI2
1.52,62.4,58.0,7.3,7.37,4.58,11272.0,Ideal,H,VS2
0.8,62.5,55.0,5.97,5.93,3.72,2553.0,Premium,H,SI1
0.32,61.5,55.0,4.39,4.43,2.71,580.0,Ideal,G,VS2
0.3,62.3,59.0,4.29,4.25,2.66,506.0,Premium,G,SI2
0.7,61.2,54.0,5.79,5.75,3.53,2310.0,Ideal,D,SI1
0.5,61.3,56.0,5.12,5.16,3.15,1666.0,Ideal,H,SI1
0.3,62.7,53.0,4.29,4.32,2.7,590.0,Ideal,H,VVS2
0.58,62.0,54.0,5.35,5.39,3.33,1279.0,Ideal,I,VS2
0.33,61.7,55.9,4.45,4.49,2.75,604.0,Ideal,G,VS2
0.5,62.8,55.0,5.05,5.08,3.18,1077.0,Very Good,E,SI2
0.3,61.0,57.0,4.33,4.36,2.65,790.0,Very Good,F,VVS1
1.01,62.7,59.0,6.41,6.35,4.0,4808.0,Premium,G,SI1
0.54,62.0,57.0,5.2,5.25,3.24,1846.0,Very Good,H,VVS1
0.71,61.7,55.0,5.73,5.77,3.55,3376.0,Ideal,E,SI1
0.3,62.8,57.0,4.27,4.3,2.69,895.0,Very Good,G,IF
0.26,61.5,56.0,4.08,4.11,2.52,599.0,Ideal,E,VVS2
1.01,62.8,57.0,6.37,6.41,4.01,5499.0,Very Good,E,SI1
1.24,60.6,59.0,6.97,7.03,4.24,6381.0,Ideal,I,SI1
1.01,61.0,62.0,6.43,6.39,3.91,4939.0,Premium,D,SI2
0.42,61.220000000000006,56.0,4.84,4.79,2.99,1087.0,Ideal,G,VS2
0.33,62.8,54.0,4.4,4.42,2.77,579.0,Very Good,G,VS2
0.52,63.3,55.0,5.12,5.09,3.23,1815.0,Very Good,G,VS1
0.31,63.3,56.0,4.33,4.29,2.73,802.0,Very Good,G,VS1
0.7,61.5,58.0,5.67,5.71,3.5,3429.0,Very Good,E,VVS2
0.7,62.1,55.0,5.68,5.73,3.54,2553.0,Ideal,D,SI2
1.34,62.5,57.0,7.0,7.08,4.4,5273.0,Ideal,J,SI2
0.74,61.7,55.0,5.83,5.87,3.61,2106.0,Ideal,J,VVS2
0.34,61.4,55.0,4.51,4.55,2.78,440.0,Ideal,H,SI1
0.56,61.3,55.0,5.32,5.35,3.27,1708.0,Ideal,D,SI1
0.3,63.1,56.0,4.24,4.26,2.68,605.0,Good,G,VS1
0.38,62.1,53.8,4.66,4.67,2.9,789.0,Ideal,F,VS2
0.3,62.5,56.0,4.27,4.3,2.68,886.0,Very Good,F,IF
1.2,58.7,59.0,6.99,6.94,4.09,4685.0,Premium,J,SI2
0.3,62.0,55.0,4.34,4.31,2.68,911.0,Ideal,D,VS2
1.1,60.2,58.0,6.71,6.75,4.05,6534.0,Premium,G,VS2
0.79,58.1,59.0,6.06,6.13,3.54,2756.0,Good,F,SI1
1.01,63.9,58.0,6.39,6.32,4.06,6446.0,Good,F,VS2
1.52,62.0,59.0,7.34,7.36,4.56,8110.0,Premium,J,VS1
1.09,62.8,57.0,6.54,6.58,4.12,7292.0,Ideal,G,VS2
2.04,62.4,58.0,8.08,8.17,5.07,9727.0,Premium,G,I1
0.32,63.4,55.0,4.35,4.36,2.76,561.0,Good,E,SI1
1.7,58.9,62.0,7.79,7.72,4.57,10091.0,Premium,G,SI2
0.58,60.6,59.0,5.37,5.43,3.27,2852.0,Very Good,E,IF
0.73,61.9,56.0,5.77,5.82,3.59,2426.0,Ideal,I,VS2
0.4,61.9,58.0,4.74,4.76,2.94,753.0,Premium,G,VS2
0.42,60.0,61.0,4.89,4.85,2.92,898.0,Premium,D,SI2
0.43,62.3,60.0,4.85,4.78,3.0,1129.0,Premium,G,VVS2
1.05,60.3,60.0,6.66,6.54,3.98,5557.0,Premium,F,SI1
0.31,63.8,55.0,4.31,4.34,2.76,408.0,Good,I,SI1
0.37,61.0,56.0,4.7,4.65,2.85,1124.0,Ideal,D,VS2
0.3,62.2,56.0,4.27,4.31,2.67,515.0,Ideal,I,VVS2
0.8,63.4,57.0,5.89,5.82,3.71,2851.0,Very Good,F,SI1
1.3,62.4,56.1,6.97,7.02,4.36,11633.0,Ideal,G,VVS2
0.9,63.0,58.0,6.11,6.15,3.86,5757.0,Very Good,D,VS1
1.01,61.9,58.0,6.42,6.48,3.99,4767.0,Ideal,H,SI1
0.32,60.8,59.0,4.44,4.41,2.69,720.0,Premium,G,VS2
1.01,63.2,59.0,6.36,6.32,4.01,5113.0,Very Good,G,SI1
1.2,62.5,58.0,6.74,6.69,4.2,4368.0,Premium,H,SI2
0.35,62.8,55.0,4.53,4.48,2.83,591.0,Ideal,F,SI2
1.05,62.7,57.0,6.45,6.51,4.06,5127.0,Ideal,G,SI2
0.41,60.6,59.0,4.8,4.77,2.9,1153.0,Premium,E,VS1
1.0,58.9,60.0,6.53,6.58,3.86,6235.0,Ideal,G,VS2
0.53,61.2,56.0,5.22,5.24,3.2,1830.0,Ideal,F,VS1
0.33,61.5,57.0,4.42,4.49,2.74,463.0,Ideal,I,VS2
0.33,60.7,56.0,4.48,4.5,2.73,803.0,Ideal,D,VS2
0.32,61.9,59.0,4.38,4.35,2.7,720.0,Premium,I,VVS2
0.31,61.6,56.0,4.35,4.39,2.69,837.0,Ideal,E,VVS2
1.02,62.4,58.0,6.39,6.43,4.0,5356.0,Premium,H,VS2
0.41,63.4,58.0,4.7,4.73,2.99,611.0,Good,G,SI2
1.08,62.3,56.0,6.6,6.53,4.09,4093.0,Ideal,J,VS2
0.4,63.2,55.0,4.73,4.7,2.98,1125.0,Very Good,H,VVS2
1.5,60.5,63.0,7.42,7.35,4.48,10046.0,Very Good,E,SI1
1.01,62.3,60.0,6.35,6.49,4.0,6368.0,Very Good,G,VS1
1.2,61.4,59.0,6.79,6.75,4.16,6333.0,Premium,H,VS2
0.31,62.2,56.0,4.32,4.36,2.7,734.0,Ideal,D,VS2
0.9,60.7,61.0,6.19,6.17,3.75,3625.0,Premium,E,SI1
0.52,62.2,56.0,5.16,5.13,3.2,2296.0,Ideal,D,VS1
0.3,61.1,56.0,4.36,4.35,2.66,673.0,Ideal,G,VS1
0.31,62.7,59.0,4.32,4.29,2.7,628.0,Premium,H,VS2
0.41,61.4,54.0,4.81,4.83,2.96,625.0,Ideal,I,VS2
1.04,61.8,56.0,6.5,6.47,4.01,6290.0,Ideal,G,VS2
0.32,62.1,55.0,4.4,4.36,2.72,900.0,Ideal,E,VS2
2.1,62.9,64.0,8.15,8.1,5.11,11818.0,Good,I,SI2
0.9,61.3,61.0,6.15,6.25,3.8,4515.0,Very Good,G,VS1
0.28,61.6,56.0,4.2,4.23,2.59,707.0,Very Good,F,VVS2
1.51,61.1,60.0,7.27,7.37,4.47,9343.0,Very Good,E,SI2
0.5,60.8,56.0,5.14,5.16,3.13,1758.0,Very Good,D,VS2
1.0,61.4,58.0,6.37,6.43,3.93,5775.0,Premium,D,SI1
